cell_id,peak_id,cell_intensity_mean,foci_intensity_peak,foci_radius,signal_to_cell_ratio,foci_x,foci_y
29,182,0.193,1.4448,3.3,7.49,1260,450
29,183,0.193,1.9304,5.19,10.0,1290,456
30,184,0.1918,3.7152,2.83,19.37,1102,492
30,185,0.1918,2.7502,3.77,14.34,1084,471
30,186,0.1918,2.2059,2.83,11.5,1097,465
30,187,0.1918,2.6165,2.83,13.64,1115,476
31,188,0.2246,3.2466,3.77,14.46,926,492
31,189,0.2246,3.3042,2.83,14.71,925,478
31,190,0.2246,2.261,2.83,10.07,943,478
31,191,0.2246,2.2936,3.3,10.21,923,469
31,192,0.2246,2.9752,2.83,13.25,953,490
31,193,0.2246,1.9817,3.77,8.83,912,503
31,194,0.2246,1.8839,2.83,8.39,912,491
31,195,0.2246,2.0141,2.83,8.97,951,472
32,196,0.1173,3.1486,3.3,26.85,661,511
32,197,0.1173,2.3265,2.83,19.84,657,525
32,198,0.1173,2.2598,2.83,19.27,692,475
32,199,0.1173,1.5679,3.77,13.37,650,533
33,200,0.273,1.8498,6.13,6.78,296,482
33,201,0.273,1.8477,3.77,6.77,309,497
34,202,0.0663,2.3988,2.83,36.18,260,507
34,203,0.0663,2.4465,3.3,36.9,222,520
34,204,0.0663,1.8927,2.83,28.55,265,501
34,205,0.0663,1.7593,5.19,26.53,281,488
34,206,0.0663,2.4196,2.83,36.49,237,540
35,207,0.1983,3.7566,3.3,18.94,1242,527
35,208,0.1983,2.4384,5.66,12.3,1256,515
35,209,0.1983,2.6568,3.77,13.4,1240,509
35,210,0.1983,2.5976,3.77,13.1,1280,509
35,211,0.1983,2.5614,3.77,12.92,1262,492
35,212,0.1983,2.3221,4.71,11.71,1259,534
36,213,0.2398,3.4412,3.3,14.35,87,550
36,214,0.2398,3.3241,3.77,13.86,83,567
36,215,0.2398,2.9868,3.77,12.45,105,552
36,216,0.2398,1.9921,3.77,8.31,67,576
37,217,0.0841,3.1404,2.83,37.32,1145,570
37,218,0.0841,3.0899,2.83,36.72,1111,593
37,219,0.0841,2.2007,5.19,26.15,1125,581
37,220,0.0841,2.2012,4.24,26.16,1109,548
37,221,0.0841,2.3438,3.3,27.85,1129,621
37,222,0.0841,2.3265,4.24,27.65,1107,574
37,223,0.0841,1.2472,5.66,14.82,1138,596
37,224,0.0841,2.1474,2.83,25.52,1124,567
37,225,0.0841,1.8621,2.83,22.13,1101,605
38,226,0.2524,2.7973,2.83,11.08,969,560
38,227,0.2524,3.1584,2.83,12.51,955,558
38,228,0.2524,2.6788,2.83,10.61,993,570
38,229,0.2524,2.6587,2.83,10.53,973,572
38,230,0.2524,2.5729,4.24,10.19,979,571
39,231,0.1962,3.456,2.83,17.61,481,590
39,232,0.1962,2.6984,2.83,13.75,467,625
39,233,0.1962,1.8608,2.83,9.48,479,577
39,234,0.1962,1.8023,3.3,9.19,443,592
39,235,0.1962,1.9271,2.83,9.82,455,584
39,236,0.1962,2.4433,2.83,12.45,450,613
40,237,0.1057,3.3654,3.3,31.83,285,670
40,238,0.1057,2.4529,4.71,23.2,316,684
40,239,0.1057,2.4852,4.24,23.5,313,655
40,240,0.1057,2.3162,2.83,21.9,305,666
40,241,0.1057,2.9225,2.83,27.64,300,636
40,242,0.1057,2.1692,3.77,20.51,265,635
40,243,0.1057,2.2918,2.83,21.67,310,622
40,244,0.1057,2.1937,2.83,20.75,285,702
40,245,0.1057,2.3661,4.24,22.38,323,669
40,246,0.1057,2.1944,3.77,20.75,317,596
40,247,0.1057,2.3534,2.83,22.26,278,641
40,248,0.1057,2.2187,3.3,20.98,268,689
40,249,0.1057,2.082,4.24,19.69,352,635
40,250,0.1057,1.9542,3.3,18.48,328,712
40,251,0.1057,1.955,2.83,18.49,305,641
40,252,0.1057,1.7248,2.83,16.31,298,671
40,253,0.1057,1.8242,2.83,17.25,328,654
41,254,0.1972,2.5587,3.3,12.98,788,635
41,255,0.1972,2.6795,3.3,13.59,799,616
41,256,0.1972,2.9141,2.83,14.78,792,647
41,257,0.1972,2.6162,2.83,13.27,818,627
41,258,0.1972,2.0417,3.3,10.35,803,637
41,259,0.1972,1.8399,3.77,9.33,768,628
42,260,0.1718,2.9696,2.83,17.28,1135,646
42,261,0.1718,2.6446,2.83,15.39,1135,629
42,262,0.1718,2.5964,2.83,15.11,1147,633
42,263,0.1718,2.6559,3.77,15.46,1167,640
42,264,0.1718,2.2127,3.77,12.88,1184,658
42,265,0.1718,2.2734,2.83,13.23,1152,649
43,266,0.1809,5.8309,2.83,32.24,0,676
43,267,0.1809,2.8742,2.83,15.89,20,668
43,268,0.1809,2.4215,2.83,13.39,15,676
43,269,0.1809,1.7414,3.77,9.63,34,651
43,270,0.1809,1.5053,4.24,8.32,33,666
43,271,0.1809,1.4746,2.83,8.15,5,655
44,272,0.1394,3.8333,3.3,27.5,865,683
44,273,0.1394,2.3139,3.3,16.6,877,691
44,274,0.1394,1.9515,3.3,14.0,828,681
45,275,0.0835,2.9481,3.77,35.3,631,686
46,276,0.1199,3.7121,2.83,30.96,469,725
46,277,0.1199,3.4942,3.3,29.14,471,690
46,278,0.1199,2.9134,3.3,24.3,487,732
46,279,0.1199,2.292,2.83,19.11,478,719
46,280,0.1199,2.493,2.83,20.79,489,719
46,281,0.1199,2.805,3.3,23.39,502,704
46,282,0.1199,2.5886,5.66,21.59,453,691
46,283,0.1199,2.5616,3.3,21.36,496,689
46,284,0.1199,1.9744,3.77,16.47,466,716
46,285,0.1199,1.6311,2.83,13.6,487,705
47,286,0.0938,3.3228,2.83,35.41,268,748
47,287,0.0938,3.0168,3.3,32.15,245,711
47,288,0.0938,3.2435,2.83,34.57,226,749
47,289,0.0938,2.8428,2.83,30.29,252,696
47,290,0.0938,2.6515,4.71,28.26,252,747
47,291,0.0938,2.9552,3.3,31.49,199,758
47,292,0.0938,2.2832,3.77,24.33,235,726
47,293,0.0938,2.0443,2.83,21.79,252,710
47,294,0.0938,1.656,4.71,17.65,235,771
47,295,0.0938,2.0949,2.83,22.33,274,717
48,296,0.1954,2.8451,3.3,14.56,1108,761
48,297,0.1954,2.3066,2.83,11.8,1131,762
48,298,0.1954,2.5795,3.3,13.2,1096,727
48,299,0.1954,2.5277,2.83,12.93,1081,724
48,300,0.1954,2.4772,2.83,12.67,1122,768
48,301,0.1954,2.3571,2.83,12.06,1084,739
48,302,0.1954,1.5256,4.24,7.81,1128,753
48,303,0.1954,1.883,2.83,9.63,1124,776
49,304,0.1438,3.3715,3.3,23.44,622,752
49,305,0.1438,3.1082,3.3,21.61,642,742
49,306,0.1438,1.9137,3.3,13.31,629,738
49,307,0.1438,2.1256,3.3,14.78,633,773
49,308,0.1438,2.1043,3.77,14.63,646,770
49,309,0.1438,1.413,2.83,9.82,638,760
49,310,0.1438,1.5906,2.83,11.06,652,737
50,311,0.1723,2.2145,4.24,12.85,992,777
50,312,0.1723,1.7626,7.07,10.23,1019,787
51,313,0.237,3.8525,3.3,16.25,1221,851
51,314,0.237,3.3105,2.83,13.97,1247,853
51,315,0.237,2.4334,3.3,10.27,1232,838
51,316,0.237,2.4255,2.83,10.23,1261,832
52,317,0.2438,3.3355,2.83,13.68,724,845
52,318,0.2438,2.7097,2.83,11.11,683,868
52,319,0.2438,2.4813,2.83,10.18,698,876
52,320,0.2438,2.4898,2.83,10.21,701,861
52,321,0.2438,2.0502,2.83,8.41,694,854
52,322,0.2438,2.2868,2.83,9.38,713,862
53,323,0.0894,2.3178,2.83,25.93,577,903
53,324,0.0894,2.3031,4.24,25.77,598,887
53,325,0.0894,2.3243,2.83,26.0,566,915
53,326,0.0894,2.1158,2.83,23.67,569,895
53,327,0.0894,2.2534,2.83,25.21,556,912
53,328,0.0894,3.1791,2.83,35.57,559,874
53,329,0.0894,1.9266,2.83,21.55,586,890
53,330,0.0894,1.3177,4.71,14.74,550,894
53,331,0.0894,2.6152,2.83,29.26,545,878
53,332,0.0894,2.5344,2.83,28.35,563,901
53,333,0.0894,1.957,2.83,21.89,571,885
53,334,0.0894,1.7631,2.83,19.73,575,876
53,335,0.0894,2.026,4.24,22.67,588,875
54,336,0.1699,3.1238,2.83,18.39,408,903
54,337,0.1699,2.8678,2.83,16.88,420,923
54,338,0.1699,2.6874,3.3,15.82,431,926
54,339,0.1699,2.2475,3.3,13.23,399,911
54,340,0.1699,2.0499,4.24,12.07,418,883
54,341,0.1699,1.7725,3.77,10.44,434,888
55,342,0.1884,3.1387,4.24,16.66,522,948
56,343,0.2463,2.195,3.77,8.91,210,936
57,344,0.1951,2.3974,2.83,12.29,1147,956
57,345,0.1951,2.4119,2.83,12.36,1148,966
57,346,0.1951,2.1414,2.83,10.98,1180,965
57,347,0.1951,2.354,2.83,12.07,1110,966
57,348,0.1951,2.4465,2.83,12.54,1110,956
57,349,0.1951,2.3935,2.83,12.27,1179,956
57,350,0.1951,2.5832,2.83,13.24,1111,950
57,351,0.1951,2.1915,2.83,11.23,1133,963
57,352,0.1951,1.9839,2.83,10.17,1156,966
57,353,0.1951,1.812,2.83,9.29,1171,966
57,354,0.1951,1.8412,2.83,9.44,1163,966
57,355,0.1951,2.2449,2.83,11.51,1133,954
57,356,0.1951,2.0074,2.83,10.29,1164,956
57,357,0.1951,2.3002,2.83,11.79,1130,950
57,358,0.1951,1.8209,2.83,9.33,1124,953
