ManualArea,TP_pixels,TP_%,FN_pixels,FN_%,FP_pixels,FP_%,ThresholdMethod,Bild
2564.0,1339,52.223088923556936,1225.0,47.77691107644306,0.0,0.0,Otsu,2
2229.0,1760,78.95917451772095,469.0,21.04082548227905,0.0,0.0,Li,2
5687.0,4951,87.05820291893794,736.0,12.94179708106207,0.0,0.0,Li,2
2786.0,2273,81.586503948313,513.0,18.413496051687005,0.0,0.0,Li,2
3947.0,3823,96.8583734481885,124.0,3.1416265518115023,0.0,0.0,Li,2
8817.0,8388,95.13439945559713,429.0,4.865600544402858,0.0,0.0,Li,2
5938.0,4900,82.51936679016504,1038.0,17.480633209834963,0.0,0.0,Li,2
4661.0,3863,82.87921046985626,798.0,17.120789530143746,0.0,0.0,Li,2
5206.0,4608,88.51325393776412,598.0,11.486746062235882,0.0,0.0,Li,2
7227.0,6225,86.13532586135327,1002.0,13.864674138646741,0.0,0.0,Li,2
5287.0,4784,90.48609797616795,503.0,9.51390202383204,0.0,0.0,Li,2
8533.0,7859,92.10125395523264,674.0,7.898746044767374,0.0,0.0,Li,2
4492.0,3993,88.8913624220837,499.0,11.108637577916296,0.0,0.0,Li,2
9934.0,9076,91.36299577209583,858.0,8.637004227904168,0.0,0.0,Li,2
4303.0,3541,82.29142458749709,762.0,17.708575412502906,0.0,0.0,Li,2
3773.0,3445,91.30665253114233,328.0,8.693347468857674,0.0,0.0,Li,2
4430.0,3650,82.39277652370203,780.0,17.607223476297968,0.0,0.0,Li,2
3942.0,3846,97.56468797564688,96.0,2.43531202435312,0.0,0.0,Li,2
4837.0,4347,89.86975397973951,490.0,10.130246020260492,0.0,0.0,Li,2
4670.0,4231,90.59957173447538,439.0,9.400428265524626,0.0,0.0,Li,2
7001.0,6304,90.04427938865877,697.0,9.955720611341237,0.0,0.0,Li,2
4368.0,4023,92.10164835164835,345.0,7.898351648351648,0.0,0.0,Li,2
4793.0,4287,89.44293761735865,506.0,10.557062382641352,0.0,0.0,Li,2
4246.0,3669,86.4107395195478,577.0,13.58926048045219,0.0,0.0,Li,2
2939.0,2757,93.80741748894181,182.0,6.192582511058183,0.0,0.0,Li,2
8889.0,8081,90.9101136235797,808.0,9.089886376420294,0.0,0.0,Li,2
3371.0,3266,96.88519727083951,105.0,3.1148027291604863,0.0,0.0,Li,2
6060.0,4414,72.83828382838284,1646.0,27.16171617161716,0.0,0.0,Li,2
6004.0,5609,93.42105263157895,395.0,6.578947368421052,0.0,0.0,Li,2
3420.0,3056,89.35672514619884,364.0,10.64327485380117,0.0,0.0,Li,2
4620.0,4162,90.08658008658008,458.0,9.913419913419913,0.0,0.0,Li,2
3846.0,3449,89.67758710348413,397.0,10.32241289651586,0.0,0.0,Li,2
1076.0,990,92.00743494423791,86.0,7.992565055762081,0.0,0.0,Li,2
9139.0,8648,94.62742094321041,491.0,5.372579056789583,0.0,0.0,Li,2
4841.0,4691,96.90146663912415,150.0,3.098533360875852,0.0,0.0,Li,2
4486.0,3810,84.93089612126616,676.0,15.06910387873384,0.0,0.0,Li,2
4699.0,4343,92.4239199829751,356.0,7.576080017024898,0.0,0.0,Li,2
11771.0,10775,91.53852688811486,996.0,8.461473111885141,0.0,0.0,Li,2
4028.0,3495,86.76762661370407,533.0,13.23237338629593,0.0,0.0,Li,2
4087.0,3661,89.57670663078052,426.0,10.423293369219476,0.0,0.0,Li,2
26146.0,25287,96.71460261607893,859.0,3.2853973839210586,0.0,0.0,Li,2
95.0,0,0.0,95.0,100.0,0.0,0.0,Li,2
3588.0,3446,96.04236343366777,142.0,3.9576365663322184,0.0,0.0,Li,2
3701.0,3318,89.65144555525534,383.0,10.348554444744664,0.0,0.0,Li,2
3671.0,3035,82.67502043040044,636.0,17.324979569599563,0.0,0.0,Li,2
4970.0,4742,95.41247484909456,228.0,4.5875251509054324,0.0,0.0,Li,2
4266.0,4184,98.07782466010315,82.0,1.9221753398968588,0.0,0.0,Li,2
6632.0,5880,88.66103739445114,752.0,11.338962605548854,0.0,0.0,Li,2
5522.0,5321,96.36001448750453,201.0,3.639985512495473,0.0,0.0,Li,2
5134.0,4569,88.99493572263343,565.0,11.005064277366577,0.0,0.0,Li,2
3452.0,3338,96.69756662804173,114.0,3.302433371958285,0.0,0.0,Li,2
3296.0,2828,85.80097087378641,468.0,14.199029126213592,0.0,0.0,Li,2
92.0,0,0.0,92.0,100.0,0.0,0.0,Li,2
4182.0,3616,86.46580583452894,566.0,13.534194165471067,0.0,0.0,Li,2
4114.0,3406,82.79047156052503,708.0,17.209528439474965,0.0,0.0,Li,2
9560.0,7744,81.00418410041841,1816.0,18.99581589958159,0.0,0.0,Li,2
5049.0,4491,88.94830659536542,558.0,11.051693404634582,0.0,0.0,Li,2
3991.0,3715,93.08443998997745,276.0,6.915560010022551,0.0,0.0,Li,2
3742.0,3072,82.09513629075362,670.0,17.904863709246392,0.0,0.0,Li,2
4587.0,4192,91.38870721604535,395.0,8.611292783954655,0.0,0.0,Li,2
2564.0,2180,85.02340093603745,384.0,14.97659906396256,0.0,0.0,Li,2
2229.0,1767,79.27321668909825,462.0,20.72678331090175,0.0,0.0,Triangle,2
5687.0,4957,87.16370669949006,730.0,12.836293300509935,0.0,0.0,Triangle,2
