ManualArea,TP_pixels,TP_%,FN_pixels,FN_%,FP_pixels,FP_%,ThresholdMethod,ImageIndex
5276.0,4848,91.88779378316907,428.0,8.112206216830932,0.0,0.0,Otsu,2
3033.0,2676,88.22947576656776,357.0,11.770524233432244,0.0,0.0,Otsu,2
3357.0,2814,83.8248436103664,543.0,16.175156389633603,0.0,0.0,Otsu,2
7895.0,7670,97.15009499683343,225.0,2.8499050031665614,0.0,0.0,Otsu,2
5286.0,4917,93.01929625425652,369.0,6.980703745743473,0.0,0.0,Otsu,2
3859.0,3064,79.39880798134232,795.0,20.60119201865768,0.0,0.0,Otsu,2
4186.0,3911,93.43048256091734,275.0,6.569517439082656,0.0,0.0,Otsu,2
10519.0,9127,86.76680292803498,1392.0,13.233197071965016,0.0,0.0,Otsu,2
3449.0,2838,82.28472020875616,611.0,17.715279791243837,0.0,0.0,Otsu,2
3601.0,2667,74.06276034434879,934.0,25.937239655651208,0.0,0.0,Otsu,2
25688.0,23518,91.55247586421676,2170.0,8.447524135783246,0.0,0.0,Otsu,2
3441.0,2991,86.92240627724499,450.0,13.077593722755013,0.0,0.0,Otsu,2
3398.0,2552,75.10300176574457,846.0,24.896998234255445,0.0,0.0,Otsu,2
3341.0,1919,57.43789284645315,1422.0,42.56210715354684,0.0,0.0,Otsu,2
4740.0,4573,96.47679324894514,167.0,3.5232067510548526,0.0,0.0,Otsu,2
2666.0,2664,99.92498124531133,2.0,0.07501875468867217,0.0,0.0,Otsu,2
5106.0,5002,97.96318057187622,104.0,2.036819428123776,0.0,0.0,Otsu,2
5440.0,4848,89.11764705882354,592.0,10.882352941176471,0.0,0.0,Otsu,2
4093.0,4028,98.41192279501588,65.0,1.5880772049841192,0.0,0.0,Otsu,2
2703.0,2686,99.37106918238993,17.0,0.628930817610063,0.0,0.0,Otsu,2
2755.0,2380,86.38838475499092,375.0,13.611615245009073,0.0,0.0,Otsu,2
3773.0,2911,77.15345878611186,862.0,22.846541213888152,0.0,0.0,Otsu,2
3618.0,2212,61.1387506909895,1406.0,38.8612493090105,0.0,0.0,Otsu,2
7909.0,4500,56.89720571500821,3409.0,43.10279428499178,0.0,0.0,Otsu,2
4100.0,3921,95.6341463414634,179.0,4.365853658536585,0.0,0.0,Otsu,2
4023.0,3075,76.43549589858316,948.0,23.56450410141685,0.0,0.0,Otsu,2
3395.0,2019,59.46980854197349,1376.0,40.53019145802651,0.0,0.0,Otsu,2
4656.0,3289,70.64003436426117,1367.0,29.35996563573883,0.0,0.0,Otsu,2
2983.0,1339,44.887696949379816,1644.0,55.112303050620184,0.0,0.0,Otsu,2
2115.0,1867,88.274231678487,248.0,11.725768321513003,0.0,0.0,Li,2
5116.0,5033,98.3776387802971,83.0,1.622361219702893,0.0,0.0,Li,2
2486.0,2262,90.98954143201931,224.0,9.010458567980692,0.0,0.0,Li,2
4048.0,3966,97.97430830039525,82.0,2.025691699604743,0.0,0.0,Li,2
6029.0,4924,81.67191905788688,1105.0,18.32808094211312,0.0,0.0,Li,2
8338.0,8254,98.99256416406811,84.0,1.0074358359318782,0.0,0.0,Li,2
4707.0,4525,96.13341831315063,182.0,3.8665816868493734,0.0,0.0,Li,2
3917.0,3817,97.44702578503957,100.0,2.552974214960429,0.0,0.0,Li,2
6459.0,6133,94.95277906796717,326.0,5.047220932032823,0.0,0.0,Li,2
4567.0,4565,99.95620757608934,2.0,0.04379242391066346,0.0,0.0,Li,2
7253.0,7240,99.8207638218668,13.0,0.17923617813318626,0.0,0.0,Li,2
3971.0,3962,99.77335683706875,9.0,0.22664316293125158,0.0,0.0,Li,2
8667.0,8625,99.51540325372102,42.0,0.4845967462789893,0.0,0.0,Li,2
3472.0,3408,98.15668202764977,64.0,1.8433179723502304,0.0,0.0,Li,2
3642.0,3529,96.89730917078528,113.0,3.1026908292147173,0.0,0.0,Li,2
3741.0,3570,95.42902967121091,171.0,4.570970328789094,0.0,0.0,Li,2
4528.0,4520,99.82332155477032,8.0,0.17667844522968199,0.0,0.0,Li,2
3936.0,3906,99.23780487804879,30.0,0.7621951219512195,0.0,0.0,Li,2
3845.0,3845,100.0,0.0,0.0,0.0,0.0,Li,2
5966.0,5937,99.51391216895743,29.0,0.4860878310425746,0.0,0.0,Li,2
4206.0,4041,96.07703281027105,165.0,3.922967189728958,0.0,0.0,Li,2
4036.0,4022,99.65312190287413,14.0,0.3468780971258672,0.0,0.0,Li,2
3661.0,3620,98.88008740781208,41.0,1.1199125921879267,0.0,0.0,Li,2
2812.0,2803,99.67994310099573,9.0,0.3200568990042674,0.0,0.0,Li,2
2595.0,2595,100.0,0.0,0.0,0.0,0.0,Li,2
4063.0,3996,98.3509721880384,67.0,1.6490278119616046,0.0,0.0,Li,2
7400.0,7387,99.82432432432432,13.0,0.17567567567567569,0.0,0.0,Li,2
5755.0,4422,76.8375325803649,1333.0,23.1624674196351,0.0,0.0,Li,2
5276.0,5217,98.88172858225929,59.0,1.1182714177407127,0.0,0.0,Li,2
3033.0,3016,99.43949884602704,17.0,0.5605011539729641,0.0,0.0,Li,2
3357.0,3335,99.34465296395591,22.0,0.655347036044087,0.0,0.0,Li,2
7895.0,7876,99.75934135528816,19.0,0.24065864471184295,0.0,0.0,Li,2
5286.0,5247,99.2622020431328,39.0,0.7377979568671964,0.0,0.0,Li,2
3859.0,3825,99.11894273127754,34.0,0.881057268722467,0.0,0.0,Li,2
4186.0,4165,99.49832775919732,21.0,0.5016722408026756,0.0,0.0,Li,2
10519.0,10439,99.23947143264569,80.0,0.7605285673543113,0.0,0.0,Li,2
3449.0,3426,99.33314004059147,23.0,0.6668599594085242,0.0,0.0,Li,2
3601.0,3584,99.5279089141905,17.0,0.4720910858094974,0.0,0.0,Li,2
25688.0,25470,99.15135471815634,218.0,0.8486452818436624,0.0,0.0,Li,2
3441.0,3429,99.6512641673932,12.0,0.34873583260680036,0.0,0.0,Li,2
3398.0,3286,96.70394349617422,112.0,3.29605650382578,0.0,0.0,Li,2
3341.0,3046,91.17030829093086,295.0,8.829691709069142,0.0,0.0,Li,2
4740.0,4738,99.957805907173,2.0,0.04219409282700422,0.0,0.0,Li,2
2666.0,2666,100.0,0.0,0.0,0.0,0.0,Li,2
5106.0,5106,100.0,0.0,0.0,0.0,0.0,Li,2
5440.0,5387,99.02573529411765,53.0,0.9742647058823529,0.0,0.0,Li,2
4093.0,4093,100.0,0.0,0.0,0.0,0.0,Li,2
2703.0,2703,100.0,0.0,0.0,0.0,0.0,Li,2
2755.0,2729,99.05626134301271,26.0,0.9437386569872959,0.0,0.0,Li,2
3773.0,3618,95.89186323880202,155.0,4.1081367611979855,0.0,0.0,Li,2
3618.0,3384,93.53233830845771,234.0,6.467661691542288,0.0,0.0,Li,2
7909.0,7268,91.89530914148438,641.0,8.104690858515614,0.0,0.0,Li,2
