experiment,cell_id,peak_id,cell_intensity_mean,foci_intensity_peak,foci_intensity_mean_disk,foci_radius,signal_to_cell_ratio,foci_x,foci_y
Ex 3 day 1819,2,142,0.0105,1.604,1.339,2.83,153.47,426,171
Ex 3 day 1819,2,143,0.0105,1.3882,1.17,2.83,132.83,509,137
Ex 3 day 1819,2,144,0.0105,2.0252,1.7468,2.83,193.78,441,99
Ex 3 day 1819,2,145,0.0105,2.0494,1.7964,2.83,196.09,358,137
Ex 3 day 1819,3,146,-0.0211,3.8791,2.7319,3.3,-183.44,1309,94
Ex 3 day 1819,3,147,-0.0211,2.7212,2.0943,3.77,-128.68,1292,105
Ex 3 day 1819,3,148,-0.0211,2.4439,1.9766,2.83,-115.57,1369,147
Ex 3 day 1819,3,149,-0.0211,2.1689,1.6004,2.83,-102.57,1321,156
Ex 3 day 1819,3,150,-0.0211,2.4656,1.9933,2.83,-116.6,1332,127
Ex 3 day 1819,3,151,-0.0211,1.7634,1.3539,2.83,-83.39,1328,160
Ex 3 day 1819,4,152,0.0206,4.4383,3.0924,3.3,215.51,1274,708
Ex 3 day 1819,4,153,0.0206,4.3018,3.2321,3.3,208.88,1260,722
Ex 3 day 1819,4,154,0.0206,4.1675,2.9678,3.3,202.36,1243,725
Ex 3 day 1819,4,155,0.0206,4.0685,3.023,3.77,197.56,1234,698
Ex 3 day 1819,4,156,0.0206,4.0123,2.7297,3.3,194.82,1302,752
Ex 3 day 1819,4,157,0.0206,3.7416,2.5708,3.3,181.68,1255,673
Ex 3 day 1819,4,158,0.0206,3.6528,2.6137,3.3,177.37,1283,676
Ex 3 day 1819,4,159,0.0206,3.5843,2.5917,3.3,174.04,1286,732
Ex 3 day 1819,4,160,0.0206,3.8032,2.5675,3.3,184.67,1274,766
Ex 3 day 1819,4,161,0.0206,3.3453,2.2453,4.24,162.44,1261,693
Ex 3 day 1819,4,162,0.0206,3.1678,2.1654,3.3,153.82,1248,662
Ex 3 day 1819,4,163,0.0206,3.3861,2.4113,3.3,164.42,1256,744
Ex 3 day 1819,4,164,0.0206,3.3615,2.4832,3.3,163.23,1237,757
Ex 3 day 1819,4,165,0.0206,2.8606,1.9616,3.3,138.9,1282,686
Ex 3 day 1819,4,166,0.0206,2.8487,2.4112,2.83,138.33,1260,736
Ex 3 day 1819,4,167,0.0206,2.3742,1.671,5.19,115.28,1218,739
Ex 3 day 1819,4,168,0.0206,2.2768,1.6221,3.3,110.55,1261,665
Ex 3 day 1819,4,169,0.0206,2.2534,1.8768,2.83,109.42,1273,750
Ex 3 day 1819,4,170,0.0206,2.4398,1.7574,3.3,118.47,1283,662
Ex 3 day 1819,4,171,0.0206,2.3254,1.574,3.3,112.91,1281,722
Ex 3 day 1819,4,172,0.0206,1.6043,1.0923,4.71,77.9,1184,725
Ex 3 day 1819,4,173,0.0206,2.0241,1.4304,3.3,98.29,1287,701
Ex 3 day 1819,4,174,0.0206,2.354,1.7321,3.3,114.3,1300,667
Ex 3 day 1819,4,175,0.0206,2.0438,1.678,2.83,99.24,1274,720
Ex 3 day 1819,4,176,0.0206,2.0358,1.686,2.83,98.85,1281,750
Ex 3 day 1819,5,177,0.0218,4.4785,3.1718,3.3,205.56,376,792
Ex 3 day 1819,5,178,0.0218,4.5857,3.1198,3.3,210.48,309,839
Ex 3 day 1819,5,179,0.0218,4.3335,2.8934,3.3,198.91,279,835
Ex 3 day 1819,5,180,0.0218,4.3176,3.0321,3.3,198.18,331,819
Ex 3 day 1819,5,181,0.0218,4.3839,3.1281,3.3,201.22,278,700
Ex 3 day 1819,5,182,0.0218,4.3778,3.0406,3.3,200.94,383,760
Ex 3 day 1819,5,183,0.0218,4.2954,3.0292,3.3,197.16,256,710
Ex 3 day 1819,5,184,0.0218,4.2126,3.006,3.77,193.36,242,801
Ex 3 day 1819,5,185,0.0218,4.3016,3.1026,3.77,197.44,306,810
Ex 3 day 1819,5,186,0.0218,4.1308,2.9072,3.3,189.6,356,725
Ex 3 day 1819,5,187,0.0218,3.8587,2.725,3.3,177.12,291,844
Ex 3 day 1819,5,188,0.0218,3.6924,2.8925,3.77,169.48,225,757
Ex 3 day 1819,5,189,0.0218,3.8482,2.9258,3.77,176.63,299,691
Ex 3 day 1819,5,190,0.0218,3.756,2.7336,3.3,172.4,308,749
Ex 3 day 1819,5,191,0.0218,3.5588,2.5054,3.3,163.35,344,754
Ex 3 day 1819,5,192,0.0218,3.8061,3.1968,2.83,174.7,310,679
Ex 3 day 1819,5,193,0.0218,3.1803,2.6608,2.83,145.97,335,843
Ex 3 day 1819,5,194,0.0218,3.8222,2.8184,3.3,175.44,217,801
Ex 3 day 1819,5,195,0.0218,3.9077,2.7393,3.3,179.36,393,810
Ex 3 day 1819,5,196,0.0218,3.4348,2.6386,3.3,157.66,375,812
